학교명,학교급구분,설립형태,교육지원청명,위도,경도
서울염창초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.55322614,126.8676002
서울마포초등학교,초등학교,공립,서울특별시서부교육지원청,37.53860225,126.949816
서울녹번초등학교,초등학교,공립,서울특별시서부교육지원청,37.60458339,126.9257463
대광초등학교,초등학교,사립,서울특별시성북강북교육지원청,37.57915104,127.0234459
서울강빛초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.57432025,127.1707749
서울영일초등학교,초등학교,공립,서울특별시남부교육지원청,37.48564539,126.8838134
서울신사초등학교,초등학교,공립,서울특별시서부교육지원청,37.5928019,126.9119832
서울영문초등학교,초등학교,공립,서울특별시남부교육지원청,37.51980741,126.8875891
서울성일초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.52970924,127.1284083
서울신봉초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.48557635,126.9493909
서울용답초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.56073011,127.0537608
서울고원초등학교,초등학교,공립,서울특별시남부교육지원청,37.49761122,126.8657993
영훈초등학교,초등학교,사립,서울특별시성북강북교육지원청,37.61468187,127.0280933
서울문래초등학교,초등학교,공립,서울특별시남부교육지원청,37.51914038,126.8936057
서울번동초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.62900012,127.0400394
서울조원초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.48417783,126.909581
서울원신초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.46719824,126.9272409
서울선린초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.52976012,127.145594
서울휘봉초등학교,초등학교,공립,서울특별시동부교육지원청,37.58567641,127.0700416
서울행당초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.55701913,127.0348734
서울동자초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.53505821,127.0721792
서울역촌초등학교,초등학교,공립,서울특별시서부교육지원청,37.60158417,126.913928
서울강명초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55470604,127.1733624
서울흥인초등학교,초등학교,공립,서울특별시중부교육지원청,37.56087001,127.0145555
서울은명초등학교,초등학교,공립,서울특별시서부교육지원청,37.59769681,126.9182757
서울망원초등학교,초등학교,공립,서울특별시서부교육지원청,37.56088948,126.9007631
서울갈현초등학교,초등학교,공립,서울특별시서부교육지원청,37.61977964,126.9166834
서울수리초등학교,초등학교,공립,서울특별시서부교육지원청,37.62030737,126.9341783
서울중동초등학교,초등학교,공립,서울특별시서부교육지원청,37.56641061,126.9117752
서울구의초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.54300899,127.0803118
서울구산초등학교,초등학교,공립,서울특별시서부교육지원청,37.61275096,126.9093765
태강삼육초등학교,초등학교,사립,서울특별시북부교육지원청,37.64335737,127.1088503
경복초등학교,초등학교,사립,서울특별시성동광진교육지원청,37.5509798,127.0870952
서울오정초등학교,초등학교,공립,서울특별시남부교육지원청,37.49016566,126.8264392
서울고명초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55297253,127.1474362
서울남명초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.515684,126.8540837
서울휘경초등학교,초등학교,공립,서울특별시동부교육지원청,37.58573583,127.0582142
서울언남초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.45411333,127.0614475
서울신암초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55002367,127.1244044
서울삼성초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.46852204,126.9404929
서울상도초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.50034777,126.9372288
