학교명,학교급구분,설립형태,교육지원청명,위도,경도,2008년 학생수,2009년 학생수,2010년 학생수,2011년 학생수,2012년 학생수,2013년 학생수,2014년 학생수,2015년 학생수,2016년 학생수,2017년 학생수,2018년 학생수,2019년 학생수,2020년 학생수,2021년 학생수,2022년 학생수
서울남정초등학교,초등학교,공립,서울특별시중부교육지원청,37.53567383,126.9648037,451,433,407,381,396,381,428,418,424,443,437,422,363,372,311
동산초등학교,초등학교,사립,서울특별시중부교육지원청,37.55702679,127.0167183,560,552,536,541,534,552,545,552,555,558,535,531,533,546,560
서울누원초등학교,초등학교,공립,서울특별시북부교육지원청,37.68723271,127.0492672,1225,1138,1199,1171,1114,1060,1053,1072,1102,1072,1070,1019,920,808,784
리라초등학교,초등학교,사립,서울특별시중부교육지원청,37.5578197,126.9879121,705,678,643,657,636,629,626,604,594,569,529,518,475,488,480
서울유현초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.63234717,127.011421,743,666,597,527,495,454,431,427,436,442,425,422,399,370,331
서울신은초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.51391281,126.8321696,#N/A,#N/A,#N/A,#N/A,778,888,920,1004,1083,1152,1138,1111,1000,836,720
서울동의초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.55342244,127.0990473,1395,1305,1216,1102,1035,986,944,912,897,842,838,833,807,793,707
서울원효초등학교,초등학교,공립,서울특별시중부교육지원청,37.53616126,126.9515453,1019,1009,945,905,841,806,795,774,760,727,696,668,620,572,540
서울숭례초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.59452119,127.0352972,1269,1178,1193,1136,1073,1000,946,908,891,849,804,805,762,745,705
서울상현초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.49487439,126.9526884,#N/A,#N/A,#N/A,#N/A,#N/A,641,876,950,987,1012,996,957,906,861,780
서울초당초등학교,초등학교,공립,서울특별시북부교육지원청,37.65862783,127.0219562,1400,1305,1266,1217,1140,1070,1101,1094,1081,1044,1031,1000,954,926,910
서울인왕초등학교,초등학교,공립,서울특별시서부교육지원청,37.59023007,126.9448045,1299,1186,1054,961,859,772,708,667,609,563,517,475,432,404,495
서울동신초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.58328787,127.017058,992,877,754,650,517,450,407,389,346,387,423,425,405,411,416
서울연신초등학교,초등학교,공립,서울특별시서부교육지원청,37.62605996,126.9277513,787,671,611,513,445,405,395,371,349,329,333,324,283,258,261
서울내발산초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.55088255,126.8381642,1672,1692,1654,1582,1551,1502,1523,1588,1587,1547,1554,1587,1542,1437,1398
서울대명초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.54766615,127.1532897,1264,1173,1111,1052,991,895,867,848,864,897,968,960,848,790,831
서울덕암초등학교,초등학교,공립,서울특별시북부교육지원청,37.66816023,127.0812564,1343,1301,1247,1204,1084,968,843,757,659,611,604,594,559,546,534
서울공릉초등학교,초등학교,공립,서울특별시북부교육지원청,37.61861443,127.0746314,506,469,449,439,405,388,411,399,400,372,365,369,353,349,339
서울서일초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.48529778,127.0221598,626,569,577,584,573,565,560,550,545,557,554,547,548,558,548
서울개일초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.48621414,127.0577406,845,771,815,785,771,725,783,766,688,716,709,837,945,1004,1078
서울발산초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.55026244,126.8309944,1703,1635,1539,1444,1344,1283,1230,1223,1229,1195,1199,1235,1210,1157,1106
서울진관초등학교,초등학교,공립,서울특별시서부교육지원청,37.64543483,126.9292124,#N/A,895,1014,1052,1054,1070,1065,1022,1005,1007,1030,1029,1018,964,895
서울고척초등학교,초등학교,공립,서울특별시남부교육지원청,37.50094829,126.8569791,827,734,690,672,624,581,544,540,533,509,473,436,388,361,362
서울청룡초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.47672527,126.9512057,768,727,657,668,634,574,562,540,517,493,484,472,431,401,374
서울석계초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.60881368,127.0697321,934,974,995,917,901,892,873,803,732,687,638,592,559,527,480
