학교명,학교급구분,설립형태,교육지원청명,위도,경도,2008년 학생수,2009년 학생수,2010년 학생수,2011년 학생수,2012년 학생수,2013년 학생수,2014년 학생수,2015년 학생수,2016년 학생수,2017년 학생수,2018년 학생수,2019년 학생수,2020년 학생수,2021년 학생수,2022년 학생수
서울문창초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.48898483,126.9148407,1213,1144,1081,971,858,754,720,662,642,605,584,541,482,436,413
서울강일초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.56525568,127.1772858,0,0,1173,1250,1281,1340,1516,1683,1701,1184,1142,1085,948,776,734
서울양남초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.53112324,127.0892343,428,402,347,286,252,232,209,198,181,178,165,166,153,151,146
서울도성초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.50146201,127.0488722,1186,1168,1252,1336,1389,1453,1551,1604,1571,1635,1687,1740,1840,1888,1839
서울은빛초등학교,초등학교,공립,서울특별시서부교육지원청,37.64266166,126.9190801,#N/A,#N/A,#N/A,600,903,1146,1247,1327,1408,1371,1311,1216,1034,878,705
서울장위초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.61144251,127.0500064,1453,1361,1285,1217,1157,1054,998,932,872,816,760,659,558,509,473
서울장곡초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.61683137,127.0481552,1272,1145,1051,920,776,683,636,580,519,478,472,469,486,714,815
서울문백초등학교,초등학교,공립,서울특별시남부교육지원청,37.44709025,126.8986974,842,737,682,610,704,686,729,774,771,697,731,730,675,649,644
서울위례별초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.47908713,127.1450416,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,301,1384,1584,1657,1662,1682,1710
서울중흥초등학교,초등학교,공립,서울특별시동부교육지원청,37.60167188,127.0841422,922,809,745,667,584,493,427,365,310,283,256,245,239,211,203
서울녹천초등학교,초등학교,공립,서울특별시북부교육지원청,37.6285066,127.0631172,707,648,621,550,531,494,468,462,447,423,387,369,332,296,273
동북초등학교,초등학교,사립,서울특별시북부교육지원청,37.65634868,127.0268766,616,589,603,618,636,635,651,677,685,698,699,694,691,707,742
서울충무초등학교,초등학교,공립,서울특별시중부교육지원청,37.56194948,127.0012351,425,375,364,338,306,288,298,290,280,278,256,247,222,205,208
서울연은초등학교,초등학교,공립,서울특별시서부교육지원청,37.59040776,126.9250939,1106,976,864,752,577,523,560,599,628,666,692,708,733,745,816
서울신정초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.53207171,126.8523579,3001,2815,2682,2574,2392,2229,2138,2055,1905,1843,1846,1773,1696,1500,1408
서울광장초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.54854922,127.1017999,427,423,430,399,383,344,345,347,342,333,332,330,319,296,317
서울매동초등학교,초등학교,공립,서울특별시중부교육지원청,37.57749965,126.9669415,274,282,287,274,271,235,260,269,247,272,261,263,217,192,194
서울영남초등학교,초등학교,공립,서울특별시남부교육지원청,37.47612262,126.9092099,768,692,588,504,438,383,374,361,356,335,325,346,320,269,246
서울신대림초등학교,초등학교,공립,서울특별시남부교육지원청,37.49215682,126.9058543,684,607,553,472,448,400,341,332,292,277,276,283,265,356,385
서울성자초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.53149357,127.0834083,848,804,780,728,683,678,711,676,679,699,693,658,611,596,562
상명초등학교,초등학교,사립,서울특별시북부교육지원청,37.64954781,127.0680416,758,766,775,762,750,718,682,687,679,679,667,656,665,696,713
서울토성초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.53188286,127.1156331,1292,1176,1110,1060,998,948,941,922,935,912,881,869,830,788,719
서울경동초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.5438253,127.050074,1550,1488,1426,1394,1347,1248,1226,1144,1095,1090,1066,1072,971,907,862
서울신명초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.54181449,127.1492919,1315,1258,1165,1071,933,825,777,727,663,615,566,534,473,459,450
서울상지초등학교,초등학교,공립,서울특별시서부교육지원청,37.57975102,126.8820736,728,798,856,898,911,926,913,920,851,844,805,775,721,661,628
서울양전초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.49028284,127.0694253,860,775,740,689,641,582,542,515,488,471,479,455,543,563,563
서울명덕초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55676233,127.1450815,652,1285,1278,1243,1176,1111,1146,1174,1185,1425,1626,1764,1778,1848,1820
서울대림초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.5006148,126.9248833,1959,1780,1640,1510,1385,1292,1302,1229,1265,1235,1228,1169,1103,1013,1039
서울공연초등학교,초등학교,공립,서울특별시북부교육지원청,37.62754753,127.0745089,1199,1113,1019,940,867,794,706,691,650,587,572,574,526,478,462
추계초등학교,초등학교,사립,서울특별시서부교육지원청,37.56317672,126.9540593,365,365,351,339,323,295,292,299,305,315,313,317,325,339,352
서울한강초등학교,초등학교,공립,서울특별시중부교육지원청,37.52522655,126.965079,317,277,235,230,225,198,198,174,180,174,188,198,193,250,226
세종초등학교,초등학교,사립,서울특별시성동광진교육지원청,37.5530111,127.0728646,367,356,344,359,371,365,364,365,374,366,361,359,363,366,364
서울우솔초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.45709258,127.0192756,#N/A,#N/A,#N/A,#N/A,#N/A,338,688,757,830,849,860,875,809,732,653
서울대조초등학교,초등학교,공립,서울특별시서부교육지원청,37.61357914,126.9193022,1937,1716,1552,1442,1316,1209,1130,1065,1023,1004,1004,981,910,849,815
서울선사초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55584691,127.128196,1815,1673,1547,1415,1325,1239,1194,1118,1034,930,882,860,726,687,638
서울성북초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.59405389,126.9987754,537,510,464,429,396,373,378,360,342,331,303,303,247,236,229
서울노량진초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.51175038,126.9408242,826,744,659,609,544,474,460,407,374,369,342,310,271,271,242
서울세검정초등학교,초등학교,공립,서울특별시중부교육지원청,37.60346883,126.9609387,1351,1224,1111,987,906,826,817,826,827,829,838,864,845,854,866
서울우면초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.46471047,127.0237894,#N/A,#N/A,#N/A,#N/A,262,723,916,1021,1137,1204,1344,1377,1315,1189,1012
서울재동초등학교,초등학교,공립,서울특별시중부교육지원청,37.58002991,126.9851778,451,425,387,351,322,289,263,234,211,208,217,210,209,211,230
서울매봉초등학교,초등학교,공립,서울특별시남부교육지원청,37.50491523,126.8443653,776,703,648,595,550,469,423,393,366,339,334,326,286,269,265
서울등원초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.55981354,126.850069,734,692,572,509,433,364,320,270,236,196,206,171,171,171,162
서울중랑초등학교,초등학교,공립,서울특별시동부교육지원청,37.58966282,127.0755035,1327,1233,1144,1091,970,845,843,829,796,781,775,763,706,689,656
서울신기초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.5113683,126.854213,1141,1039,938,856,803,765,729,685,612,596,580,541,511,464,442
서울성내초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.53135786,127.1225001,1594,1446,1304,1221,1221,1151,1120,1128,1046,990,963,960,890,855,827
성동초등학교,초등학교,사립,서울특별시성동광진교육지원청,37.53328137,127.089281,649,653,652,630,604,606,637,631,636,633,639,654,632,672,718
서울당곡초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.49016812,126.9303698,1597,1453,1310,1152,1075,947,899,869,841,814,767,731,680,614,616
서울월곡초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.61002442,127.046081,1240,1167,1013,879,740,662,634,581,542,533,507,456,421,419,387
서울창신초등학교,초등학교,공립,서울특별시중부교육지원청,37.57621147,127.0142837,1526,1424,1264,1114,989,850,761,681,629,608,582,541,469,424,398
서울등양초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.56494704,126.8447602,662,618,582,530,460,398,345,288,239,191,176,176,177,157,157
서울수락초등학교,초등학교,공립,서울특별시북부교육지원청,37.68450319,127.0551852,1133,1073,1105,1084,1019,893,855,802,699,686,665,638,580,515,502
서울신도초등학교,초등학교,공립,서울특별시서부교육지원청,37.63296389,126.9291989,0,0,359,938,985,1052,1129,1226,1282,1269,1373,1382,1244,1149,1056
서울천호초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.54771897,127.1365923,1569,1520,1394,1302,1191,1076,1002,894,827,789,774,743,697,710,680
서울교동초등학교,초등학교,공립,서울특별시중부교육지원청,37.57500567,126.9881513,121,111,104,97,108,108,117,120,118,125,144,172,180,178,178
서울장월초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.62194109,127.0471628,623,757,796,786,768,722,644,545,461,410,427,435,550,587,646
서울창서초등학교,초등학교,공립,서울특별시서부교육지원청,37.55814305,126.9334809,533,467,419,362,305,293,259,259,242,203,196,182,171,167,163
서울치현초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.57591915,126.8146456,991,957,927,907,896,878,889,875,815,783,774,744,688,598,582
서울염창초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.55322614,126.8676002,1354,1272,1222,1168,1072,996,943,879,816,804,789,884,860,853,905
서울마포초등학교,초등학교,공립,서울특별시서부교육지원청,37.53860225,126.949816,1446,1331,1215,1141,1063,965,962,923,896,871,832,830,770,770,752
서울녹번초등학교,초등학교,공립,서울특별시서부교육지원청,37.60458339,126.9257463,2010,1516,1415,1341,1214,1053,1045,1048,1012,936,897,888,862,796,787
대광초등학교,초등학교,사립,서울특별시성북강북교육지원청,37.57915104,127.0234459,548,538,522,518,506,501,484,487,488,479,484,473,471,467,483
서울강빛초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.57432025,127.1707749,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,485,571
서울영일초등학교,초등학교,공립,서울특별시남부교육지원청,37.48564539,126.8838134,865,757,676,571,505,443,434,391,363,371,345,353,317,292,285
서울신사초등학교,초등학교,공립,서울특별시서부교육지원청,37.5928019,126.9119832,1339,1042,918,799,681,609,566,522,483,482,455,465,437,415,399
서울영문초등학교,초등학교,공립,서울특별시남부교육지원청,37.51980741,126.8875891,1174,1197,1159,1156,1143,1112,1112,1105,1085,1022,1004,1020,1016,1054,1073
서울성일초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.52970924,127.1284083,1668,1573,1479,1339,1275,1157,1105,1080,993,995,1298,1282,1213,1152,1096
서울신봉초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.48557635,126.9493909,985,893,808,713,616,540,482,462,426,370,351,331,310,290,277
서울용답초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.56073011,127.0537608,977,881,784,687,608,543,502,447,395,357,361,310,266,248,230
서울고원초등학교,초등학교,공립,서울특별시남부교육지원청,37.49761122,126.8657993,1059,1034,974,896,836,806,820,770,745,766,730,732,649,636,615
영훈초등학교,초등학교,사립,서울특별시성북강북교육지원청,37.61468187,127.0280933,861,863,864,863,862,842,812,785,746,719,686,684,684,681,682
서울문래초등학교,초등학교,공립,서울특별시남부교육지원청,37.51914038,126.8936057,1140,1168,1151,1155,1134,1100,1129,1189,1146,1179,1208,1243,1207,1161,1176
서울번동초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.62900012,127.0400394,1500,1428,1300,1184,1102,995,952,877,804,786,757,747,679,631,578
서울조원초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.48417783,126.909581,893,836,765,739,657,657,630,603,587,604,564,525,485,451,426
서울원신초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.46719824,126.9272409,921,833,759,688,605,538,466,408,344,298,271,253,227,217,196
서울선린초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.52976012,127.145594,867,782,750,749,693,641,616,576,553,546,554,525,473,436,426
서울휘봉초등학교,초등학교,공립,서울특별시동부교육지원청,37.58567641,127.0700416,1047,1006,1027,1021,984,935,896,868,817,788,765,766,770,733,747
서울행당초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.55701913,127.0348734,930,862,793,806,794,799,800,751,716,657,649,724,678,699,726
서울동자초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.53505821,127.0721792,1831,1685,1619,1586,1466,1376,1369,1306,1272,1252,1275,1267,1178,1145,1141
서울역촌초등학교,초등학교,공립,서울특별시서부교육지원청,37.60158417,126.913928,3221,2571,2302,2187,1969,1814,1764,1761,1744,1787,1809,1795,1678,1579,1448
서울강명초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55470604,127.1733624,#N/A,#N/A,#N/A,904,1014,1028,1102,1203,1329,1383,1384,1341,1184,967,785
서울흥인초등학교,초등학교,공립,서울특별시중부교육지원청,37.56087001,127.0145555,814,650,585,531,522,479,455,432,419,389,393,384,375,377,369
서울은명초등학교,초등학교,공립,서울특별시서부교육지원청,37.59769681,126.9182757,#N/A,1301,1493,1573,1565,1535,1499,1441,1333,1253,1210,1136,1192,1202,1219
서울망원초등학교,초등학교,공립,서울특별시서부교육지원청,37.56088948,126.9007631,505,487,466,424,408,401,372,349,346,338,334,324,294,266,245
서울갈현초등학교,초등학교,공립,서울특별시서부교육지원청,37.61977964,126.9166834,2778,2548,2302,2120,1895,1687,1550,1476,1404,1379,1367,1331,1270,1187,1123
서울수리초등학교,초등학교,공립,서울특별시서부교육지원청,37.62030737,126.9341783,#N/A,#N/A,#N/A,282,391,490,529,554,540,541,542,510,461,436,435
서울중동초등학교,초등학교,공립,서울특별시서부교육지원청,37.56641061,126.9117752,1300,1019,911,844,772,658,601,607,549,549,571,577,556,522,505
서울구의초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.54300899,127.0803118,1173,1091,969,871,799,730,653,635,608,599,563,543,487,464,516
서울구산초등학교,초등학교,공립,서울특별시서부교육지원청,37.61275096,126.9093765,1866,1451,1310,1221,1199,1120,1109,1113,1062,1084,1089,1071,1028,1004,982
태강삼육초등학교,초등학교,사립,서울특별시북부교육지원청,37.64335737,127.1088503,843,864,850,852,824,797,766,739,767,745,762,764,764,761,769
경복초등학교,초등학교,사립,서울특별시성동광진교육지원청,37.5509798,127.0870952,925,884,869,843,816,803,805,824,835,847,847,818,806,789,771
서울오정초등학교,초등학교,공립,서울특별시남부교육지원청,37.49016566,126.8264392,666,630,623,638,624,584,567,528,512,486,477,446,412,374,368
서울고명초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55297253,127.1474362,1305,1223,1169,1080,1036,949,915,809,681,608,576,552,661,712,766
서울남명초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.515684,126.8540837,633,601,550,497,438,395,383,361,344,291,272,236,202,398,489
서울휘경초등학교,초등학교,공립,서울특별시동부교육지원청,37.58573583,127.0582142,1192,1057,886,772,654,567,506,442,426,406,382,361,341,306,291
서울언남초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.45411333,127.0614475,257,243,195,181,161,149,154,618,769,866,963,1071,1153,1196,1145
서울신암초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55002367,127.1244044,1154,1083,1063,1017,966,908,891,863,801,762,765,781,796,751,718
서울삼성초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.46852204,126.9404929,777,694,599,511,484,440,418,419,424,421,427,424,422,389,358
서울상도초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.50034777,126.9372288,1697,1554,1405,1269,1226,1172,1117,1068,1019,1050,1032,1019,988,920,868
서울당현초등학교,초등학교,공립,서울특별시북부교육지원청,37.64826016,127.0582136,1115,1054,988,963,890,809,779,783,746,723,703,653,588,529,535
서울상일초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.54757217,127.1726635,600,566,497,410,349,280,234,215,221,218,297,279,218,196,191
서울중마초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.56579084,127.0790239,1317,1217,1099,947,807,718,647,604,566,538,536,551,485,434,405
서울일원초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.48978808,127.0763669,1320,1163,1146,1076,966,865,852,852,704,523,439,520,499,560,1142
서울금호초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.55196497,127.0197434,1750,1417,1237,1088,913,837,781,732,688,656,613,600,568,545,534
서울정목초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.53652885,126.8700491,2622,2192,2014,1827,1647,1483,1331,1301,1284,1262,1206,1184,1144,1051,979
서울강솔초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.56186962,127.1802671,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,536,569,518,433,387,391
서울신구로초등학교,초등학교,공립,서울특별시남부교육지원청,37.49966003,126.8897631,1032,926,850,819,754,719,641,611,596,535,516,496,470,432,444
서울전동초등학교,초등학교,공립,서울특별시동부교육지원청,37.57908329,127.0608053,1060,945,865,914,879,819,822,825,798,781,770,820,765,765,696
서울명일초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.5545536,127.1425911,1545,1463,1410,1296,1247,1177,1170,1184,1139,1129,1133,1108,1080,1032,1041
서울금북초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.55749549,127.0235067,1083,1046,1024,1006,954,900,841,809,749,700,764,827,778,757,771
우촌초등학교,초등학교,사립,서울특별시성북강북교육지원청,37.59560791,127.0114325,347,387,426,467,514,557,545,539,552,537,516,519,516,521,544
서울묘곡초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55871278,127.1530934,1120,995,1063,1015,910,817,780,822,840,1303,1499,1583,1620,1598,1538
서울천일초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.54436122,127.1334367,899,823,737,669,587,520,473,432,405,375,366,362,330,293,298
서울가인초등학교,초등학교,공립,서울특별시북부교육지원청,37.6594678,127.0429509,971,901,864,789,707,651,653,597,544,534,502,503,454,429,436
서울명원초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55128785,127.1505002,956,938,927,905,883,827,827,880,885,859,845,859,839,806,817
서울금나래초등학교,초등학교,공립,서울특별시남부교육지원청,37.45823,126.8962417,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,410,550,801,838,902,982
서울아현초등학교,초등학교,공립,서울특별시서부교육지원청,37.5558319,126.9562422,1164,781,656,544,463,389,371,614,611,583,565,539,549,563,585
서울영등포초등학교,초등학교,공립,서울특별시남부교육지원청,37.51294802,126.898215,551,510,467,383,344,300,295,306,299,305,309,301,269,276,273
서울강동초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.5463638,127.1301872,1522,1418,1293,1176,1054,912,854,800,746,674,672,671,607,551,540
서울어울초등학교,초등학교,공립,서울특별시서부교육지원청,37.60656331,126.9350984,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,305,384,444,505
서울창동초등학교,초등학교,공립,서울특별시북부교육지원청,37.65536304,127.0448329,772,712,631,610,555,502,480,457,448,429,424,425,426,416,397
서울연광초등학교,초등학교,공립,서울특별시서부교육지원청,37.62364876,126.923909,908,841,720,660,562,503,464,415,365,348,324,298,266,246,243
서울등촌초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.54761422,126.8579422,1886,1245,1090,993,889,763,712,643,593,566,560,547,500,494,490
서울양목초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.52391851,126.8614719,1395,1332,1290,1232,1125,1034,993,993,975,903,896,855,840,750,687
서울고덕초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.56129361,127.1660799,536,486,413,345,280,257,233,202,269,219,218,213,280,362,396
서울등마초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.54204371,126.8616672,#N/A,926,963,992,988,966,1007,947,912,891,875,877,836,819,804
서울상천초등학교,초등학교,공립,서울특별시북부교육지원청,37.64628513,127.0578888,612,561,504,444,390,350,323,304,346,363,361,370,393,382,376
서울등서초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.55188439,126.8550381,787,695,647,606,568,514,489,467,462,345,338,334,301,274,280
서울고은초등학교,초등학교,공립,서울특별시서부교육지원청,37.58500184,126.9439749,1050,974,932,830,734,645,581,546,513,518,500,547,534,509,506
서울석관초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.61102206,127.0583553,1476,1308,1180,1024,933,850,784,764,743,715,653,684,646,640,615
서울청운초등학교,초등학교,공립,서울특별시중부교육지원청,37.58592131,126.9692423,1107,1041,1002,945,872,788,710,683,652,610,601,581,547,522,475
서울세명초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.4688571,127.0910759,#N/A,#N/A,#N/A,#N/A,#N/A,385,714,762,988,1023,1053,1146,1118,1070,1003
서울이문초등학교,초등학교,공립,서울특별시동부교육지원청,37.60189649,127.064885,1630,1500,1363,1226,1071,997,941,905,881,868,924,922,867,808,786
서울정심초등학교,초등학교,공립,서울특별시남부교육지원청,37.47199405,126.9082144,946,846,766,673,589,534,495,466,414,405,392,364,335,332,321
서울양재초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.47416538,127.0318861,658,585,520,488,462,411,466,528,543,577,592,611,623,623,582
서울우신초등학교,초등학교,공립,서울특별시남부교육지원청,37.50986472,126.9118637,1289,1157,1008,902,788,683,624,572,538,465,386,358,302,253,231
한신초등학교,초등학교,사립,서울특별시북부교육지원청,37.65335584,127.0324273,667,671,668,705,708,683,659,637,641,631,551,529,525,529,564
서울월천초등학교,초등학교,공립,서울특별시북부교육지원청,37.64804738,127.0517539,934,860,781,699,636,598,582,558,504,456,455,443,397,389,369
서울돈암초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.59371444,127.0131036,1943,1926,1889,1797,1666,1535,1485,1409,1335,1280,1214,1133,1053,931,838
서울천동초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.5410159,127.1378287,1287,1149,1088,1000,933,907,910,870,863,833,875,879,818,805,809
서울고일초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55154262,127.1694101,1661,1503,1397,1192,1025,896,811,771,530,219,0,0,960,1593,1713
서울해누리초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.49841159,127.1021242,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,449,568,590,610
서울강덕초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.55954748,127.1604836,954,861,719,591,539,466,388,253,0,0,0,0,980,1075,1147
서울응암초등학교,초등학교,공립,서울특별시서부교육지원청,37.58875319,126.9216161,1733,1175,1041,948,1082,1002,941,837,740,661,737,783,752,752,761
서울하늘숲초등학교,초등학교,공립,서울특별시남부교육지원청,37.48469858,126.8424192,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,608,690,654,628
서울항동초등학교,초등학교,공립,서울특별시남부교육지원청,37.47701589,126.8241103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,161,754,1002,1165
서울가락초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.50002115,127.1076425,1392,995,834,702,602,177,0,0,0,0,0,812,1006,1071,1167
서울양원숲초등학교,초등학교,공립,서울특별시동부교육지원청,37.60934379,127.1051943,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,377
서울봉화초등학교,초등학교,공립,서울특별시동부교육지원청,37.61357623,127.0924085,1263,1199,1155,1078,999,926,875,836,781,698,660,632,577,535,521
서울양원초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.53821733,126.8231052,605,581,531,488,401,312,315,276,300,297,312,294,292,274,243
서울상봉초등학교,초등학교,공립,서울특별시동부교육지원청,37.59797895,127.0831714,1215,1148,1052,942,893,798,767,720,691,704,669,663,644,608,586
서울원광초등학교,초등학교,공립,서울특별시북부교육지원청,37.65431092,127.0749142,1543,1401,1304,1205,1053,894,856,821,754,757,756,769,798,759,731
서울월계초등학교,초등학교,공립,서울특별시북부교육지원청,37.62762424,127.0501876,535,517,460,432,428,411,396,392,357,327,308,295,287,286,286
서울송례초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.4778913,127.1384402,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,788,1008,958,981,1202,1205,1167,1298,1416
서울강남초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.50619275,126.9533591,2184,2019,1823,1635,1483,1142,1078,993,934,882,877,887,826,791,785
서울원촌초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.50618948,127.0125656,0,694,977,1085,1092,1141,1236,1277,1277,1273,1313,1296,1217,1129,1121
서울가원초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.48944215,127.1110274,901,856,824,782,742,691,662,673,667,651,666,630,627,653,639
서울영림초등학교,초등학교,공립,서울특별시남부교육지원청,37.48734601,126.9025393,419,406,390,349,321,298,299,298,241,242,222,226,205,199,210
서울평화초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.49156712,127.1228237,634,574,511,460,404,356,330,288,262,252,235,224,207,192,176
서울양동초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.52584826,126.8512402,868,763,682,621,540,517,468,441,421,412,457,439,395,363,359
서울중화초등학교,초등학교,공립,서울특별시동부교육지원청,37.60292163,127.094065,1845,1700,1634,1525,1492,1408,1433,1478,1474,1504,1492,1487,1422,1311,1222
서울상월초등학교,초등학교,공립,서울특별시북부교육지원청,37.65865224,127.05698,645,583,546,485,426,364,334,310,267,246,234,203,179,177,186
서울중목초등학교,초등학교,공립,서울특별시동부교육지원청,37.59008735,127.0793361,1308,1158,989,871,763,688,616,560,509,474,442,406,379,380,405
서울동작초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.49410161,126.9765088,943,808,723,619,544,496,500,493,462,433,399,430,418,440,527
서울갈산초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.51237156,126.8702299,1495,1387,1304,1198,1125,1043,975,987,964,964,1007,1041,1065,1034,1069
서울태랑초등학교,초등학교,공립,서울특별시북부교육지원청,37.62878266,127.0889915,1310,1246,1166,1061,1051,1056,1037,1054,1036,1043,1031,984,932,897,921
서울한천초등학교,초등학교,공립,서울특별시북부교육지원청,37.62070936,127.0692435,1504,1424,1355,1322,1287,1174,1092,1070,1011,948,919,915,887,849,829
서울신구초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.52336057,127.0239924,836,759,731,681,616,580,580,594,592,612,551,538,524,497,486
